"Policy","Section","Category","Item","State / Materializable","Mitigations / Comments"
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are proper isolations in place between components (least privilege / blast radius)?","N/A","word-count-guardrail has no independent network/deployment topology of its own — it runs inside gateway-runtime's policy-engine and inherits whatever isolation that component has. Not reviewed at the infra level."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have default credentials been changed; no default superuser/root in use?","No — confirmed finding","The e2e tooling in this repo authenticates to gateway-controller with Authorization: Basic YWRtaW46YWRtaW4= (admin:admin), a literal default credential in active use in the environment exercised for this review. Not confirmed whether production overrides this."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is source code kept private where applicable?","Needs clarification","Source files carry Apache License 2.0 headers, suggesting this is intended as open-source code rather than private/proprietary — confirm the intended posture with the release/product owner."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Was a code review conducted with a security/resiliency focus, and were findings addressed?","Not verifiable from code","This is a PR-history/process record for word-count-guardrail's own commits — needs confirmation from the team, not determinable from the source alone."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Static (SAST) or IaC scanning conducted, and are findings addressed?","Partial","api-platform/.github/workflows/go-scan.yaml runs gosec daily across gateway-controller, policy-engine, gateway-builder, platform-api, and event-gateway-runtime, uploading SARIF to GitHub code scanning. No equivalent SAST workflow was found in the gateway-controllers (policy hub) repo itself, where this policy's actual source lives — coverage of this specific file is unconfirmed."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Software Composition Analysis (SCA) conducted/integrated, and are findings addressed?","Partial","trivy-scan.yaml (OS/library CVEs in built images) and jfrog-scan.yaml (JFrog Xray docker scan) run daily in api-platform across all major images. dependency-validation.yml (present in both repos) checks changed Go deps against an approved allowlist (governance, not CVE-based). No FOSSA; no dedicated Go-module vulnerability scan distinct from image-level scans found. Remediation-tracking status not verified."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Dynamic (DAST) or API scanning conducted on non-prod, and are findings addressed?","Not found","No DAST/ZAP/API-scanning workflow was found in either repo's .github/workflows. Either it runs outside these repos or it is a gap."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are audit logs generated in a standardized format for critical functionality, available to authorized users?","Partial","An audit table + AuditRepo.Record(action, resourceUUID, resourceType, orgUUID, performedBy) fires on LlmProvider/RestApi updates, including changes to word-count-guardrail's own configuration — standardized shape, but minimal (no diff, no payload). Availability to authorized users via a UI/API surface was not checked."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","How long are audit logs retained for?","Not verified","No TTL/cleanup job was found for the audit table in this review; needs confirmation from the data/DB team."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Do audit logs for critical config changes include a diff of old vs new?","No — confirmed","Update handlers fetch the old record only to preserve unrelated fields, then blindly overwrite the configuration column. No diff or version history is persisted, so a change that silently disables or weakens word-count-guardrail leaves no trace of its prior state."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has a BIA been conducted (MTTD/RPO/RTO, HA, DR, backups, health checks, banners)?","Not covered — needs infra/SRE input","word-count-guardrail has no independent database, deployment topology, or backup surface of its own; this whole section applies to the platform as a whole, not to one mediation policy. A health endpoint (/api/admin/v1/health on gateway-controller) does exist, confirming a health-check mechanism, but HA/DR/backup/banner posture was not reviewed."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are data in transit and at rest encrypted?","Partial","Client-facing gateway traffic runs over TLS (confirmed via the dev stack's https endpoint). At-rest encryption for general application/config data was not verified in this review; this policy itself has no independent storage layer."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is sensitive data (credentials/keys) stored in secret stores like key vaults?","N/A for this policy","word-count-guardrail does not itself handle LLM-provider credentials. Separately confirmed: platform-api has a real secret vault (vault.SecretVault.Encrypt/Decrypt) used for a dedicated Secret resource, with Decrypt scoped to internal gateway use only."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are all inputs and outputs validated? (Syntactic / Semantic)","Partial","Semantic validation of min/max relationship IS enforced (min>=0, max>0, min<=max, parseParams:183-201) — better than several sibling policies. However extractInt is more permissive than the declared schema type (accepts stringified/float numbers where the schema says integer), and no validation catches the Unicode word-counting weaknesses above."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has the implementation followed best-practice guidelines (OWASP/K8s/Vendor)?","Partial","Good: fails closed on JSONPath extraction errors and malformed static config; uses RE2 (ReDoS-safe) regexes; min/max relationship is semantically validated at config time. Gaps: ASCII-only word splitting is not internationalization- or evasion-safe, and the SSE re-parse-from-scratch pattern is an algorithmic complexity concern for long streams."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have you ensured personal/sensitive/confidential data is not logged?","Yes, as far as verified","All slog.Debug calls log only counts/params/jsonPath/error values — none log the extracted text or raw payload bytes."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have users been given proper instructions on secure usage?","No — gap","Neither the docs nor schema mention the ASCII-only word-splitting limitation, its bypass implications for non-space-delimited languages, or the zero-width-space evasion technique — operators relying on this as a compliance/safety control would not know it can be trivially defeated."
"sentence-count-guardrail","Threat Model","Detection Bypass","Sentence counting is a raw [.!?] character-class split with no abbreviation (""Mr."") or decimal-number (""3.14"") handling. A max-sentence-count check can be bypassed by joining many clauses with commas/semicolons instead of terminal punctuation (counted as one sentence regardless of real statement count); a min-sentence-count check can be trivially inflated by inserting extra periods.","Yes","sentencecountguardrail.go:36,52,728-739. Use a proper sentence-boundary/tokenization approach, or at minimum handle common abbreviation patterns, rather than raw punctuation-character splitting."
"sentence-count-guardrail","Threat Model","Correctness / False Positive","Abbreviations and decimal numbers are miscounted as sentence boundaries, inflating the sentence count for innocuous content and potentially causing false-positive blocking of legitimate short prompts/responses.","Yes","Same root cause and mitigation as the bypass finding above."
"sentence-count-guardrail","Threat Model","Coverage Gap","Default jsonPath scans only the last message (request) / first choice (response).","Yes","sentencecountguardrail.go:37-38. Same class of gap as sibling guardrail policies; needs a code change to cover all messages/choices."
"sentence-count-guardrail","Threat Model","Content Skew (Multimodal)","Non-text multimodal parts fall through to json.Marshal of the whole object as raw text and get counted, unpredictably inflating or deflating the sentence count for multimodal payloads.","Yes","sentencecountguardrail.go:307-311. Exclude non-text multimodal parts from sentence-count entirely."
"sentence-count-guardrail","Threat Model","Denial of Service / Resource Exhaustion","The SSE streaming accumulator grows with every delta appended for the life of the stream with no length bound — an unbounded/very long adversarial stream grows memory usage inside this policy without limit.","Yes","sentencecountguardrail.go:624-625. Cap accumulated content length; stop counting / flush once a reasonable ceiling is reached."
"sentence-count-guardrail","Threat Model","Information Disclosure","Raw Go error text returned via showAssessment=true (opt-in, default false).","Yes, when enabled","sentencecountguardrail.go:353-354. Sanitize before returning even in assessment mode."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are rate limits in place where necessary?","N/A","sentence-count-guardrail is a content/routing guardrail, not a quota/throttling control by design. A separate advanced-ratelimit policy exists on the platform and can be composed onto the same operation if needed."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are permissions, roles, and entitlements defined on least privilege / business needs?","Partial","Org-level RBAC is enforced server-side for config-apply endpoints, but there is no per-resource ownership check in api-platform's LlmProvider/RestApi update handlers — any user with write scope in an org can silently modify or remove sentence-count-guardrail's configuration on a resource a teammate created."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are authN/authZ properly validated at UI and API, front/back end, before granting access?","Partially verified","Confirmed server-side at the management API for LlmProvider/RestApi updates (JWT + org claim enforced, not just client-side). UI-layer (Publisher/DevPortal) enforcement was not checked in this review."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are proper isolations in place between components (least privilege / blast radius)?","N/A","sentence-count-guardrail has no independent network/deployment topology of its own — it runs inside gateway-runtime's policy-engine and inherits whatever isolation that component has. Not reviewed at the infra level."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have default credentials been changed; no default superuser/root in use?","No — confirmed finding","The e2e tooling in this repo authenticates to gateway-controller with Authorization: Basic YWRtaW46YWRtaW4= (admin:admin), a literal default credential in active use in the environment exercised for this review. Not confirmed whether production overrides this."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is source code kept private where applicable?","Needs clarification","Source files carry Apache License 2.0 headers, suggesting this is intended as open-source code rather than private/proprietary — confirm the intended posture with the release/product owner."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Was a code review conducted with a security/resiliency focus, and were findings addressed?","Not verifiable from code","This is a PR-history/process record for sentence-count-guardrail's own commits — needs confirmation from the team, not determinable from the source alone."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Static (SAST) or IaC scanning conducted, and are findings addressed?","Partial","api-platform/.github/workflows/go-scan.yaml runs gosec daily across gateway-controller, policy-engine, gateway-builder, platform-api, and event-gateway-runtime, uploading SARIF to GitHub code scanning. No equivalent SAST workflow was found in the gateway-controllers (policy hub) repo itself, where this policy's actual source lives — coverage of this specific file is unconfirmed."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Software Composition Analysis (SCA) conducted/integrated, and are findings addressed?","Partial","trivy-scan.yaml (OS/library CVEs in built images) and jfrog-scan.yaml (JFrog Xray docker scan) run daily in api-platform across all major images. dependency-validation.yml (present in both repos) checks changed Go deps against an approved allowlist (governance, not CVE-based). No FOSSA; no dedicated Go-module vulnerability scan distinct from image-level scans found. Remediation-tracking status not verified."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Dynamic (DAST) or API scanning conducted on non-prod, and are findings addressed?","Not found","No DAST/ZAP/API-scanning workflow was found in either repo's .github/workflows. Either it runs outside these repos or it is a gap."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are audit logs generated in a standardized format for critical functionality, available to authorized users?","Partial","An audit table + AuditRepo.Record(action, resourceUUID, resourceType, orgUUID, performedBy) fires on LlmProvider/RestApi updates, including changes to sentence-count-guardrail's own configuration — standardized shape, but minimal (no diff, no payload). Availability to authorized users via a UI/API surface was not checked."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","How long are audit logs retained for?","Not verified","No TTL/cleanup job was found for the audit table in this review; needs confirmation from the data/DB team."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Do audit logs for critical config changes include a diff of old vs new?","No — confirmed","Update handlers fetch the old record only to preserve unrelated fields, then blindly overwrite the configuration column. No diff or version history is persisted, so a change that silently disables or weakens sentence-count-guardrail leaves no trace of its prior state."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has a BIA been conducted (MTTD/RPO/RTO, HA, DR, backups, health checks, banners)?","Not covered — needs infra/SRE input","sentence-count-guardrail has no independent database, deployment topology, or backup surface of its own; this whole section applies to the platform as a whole, not to one mediation policy. A health endpoint (/api/admin/v1/health on gateway-controller) does exist, confirming a health-check mechanism, but HA/DR/backup/banner posture was not reviewed."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are data in transit and at rest encrypted?","Partial","Client-facing gateway traffic runs over TLS (confirmed via the dev stack's https endpoint). At-rest encryption for general application/config data was not verified in this review; this policy itself has no independent storage layer."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is sensitive data (credentials/keys) stored in secret stores like key vaults?","N/A for this policy","sentence-count-guardrail does not itself handle LLM-provider credentials. Separately confirmed: platform-api has a real secret vault (vault.SecretVault.Encrypt/Decrypt) used for a dedicated Secret resource, with Decrypt scoped to internal gateway use only."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are all inputs and outputs validated? (Syntactic / Semantic)","Partial","Validation in parseParams is purely syntactic (type/range checks); no semantic checks exist for the sentence-splitting weaknesses (abbreviations, decimals, comma-joined clauses) documented above."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has the implementation followed best-practice guidelines (OWASP/K8s/Vendor)?","Partial","Good: fails closed on JSONPath extraction errors (HTTP 422, both request and response paths); uses RE2 (ReDoS-safe) regexes. Gaps: naive punctuation-based sentence splitting is easily gamed in both directions, and the streaming accumulator has no size cap."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have you ensured personal/sensitive/confidential data is not logged?","Yes, as far as verified","All slog.Debug calls log only counts/params/jsonPath/error values — no full request/response content is logged anywhere in this file."
"sentence-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have users been given proper instructions on secure usage?","Partial","Docs correctly describe punctuation-based detection and correctly note that a non-string extracted value fails validation (matches code). However, neither docs nor schema mention the comma/semicolon bypass or the abbreviation/decimal-number false-positive behavior."
"model-round-robin","Threat Model","Availability / Consistency","Round-robin state (currentIndex, suspendedModels) is held in memory, local to each policy-engine instance — not shared/distributed (e.g. no Redis-backed store). In a multi-replica gateway deployment, each replica advances its own cursor and tracks suspensions independently, so nominal ""round robin"" does not guarantee even traffic distribution across providers at the fleet level.","Yes","roundrobin.go:86-91 (in-memory struct fields); explicitly documented as a known limitation in docs/model-round-robin/v1.1/docs/model-round-robin.md:272-276. This matters operationally when providers have different cost or rate-limit profiles that operators assume are being spread evenly. Consider an optional shared-state (Redis-backed) mode for deployments where a fleet-wide guarantee is required, and keep the limitation prominently documented (it already is)."
"model-round-robin","Threat Model","Information Disclosure","Raw Go error text (JSON parse errors, JSONPath-set errors, marshal errors) is returned directly in the HTTP response body from OnRequestBody.","Yes","roundrobin.go:418,427,436. Return a generic client-facing message; log the real error server-side only."
"model-round-robin","Threat Model","Config Validation Gap","policy-definition.yaml declares provider: minLength: 1 in the schema, but parseParams only type-checks provider as a string without enforcing non-empty — an explicit empty-string provider value passes code-level parsing despite the schema declaring a minimum length.","Yes, minor","roundrobin.go:171-177 vs policy-definition.yaml:29. Align code-level validation with the declared schema constraint (reject empty string explicitly)."
"model-round-robin","Threat Model","Verification Gap (Untested Concurrency Path)","No concurrent/goroutine-based test exercises selectNextAvailableModel or OnResponseHeaders under simultaneous calls, despite this being the concurrency-critical, mutex-protected path. The mutex usage in the code looks correct on inspection, but there is no regression safety net if a future refactor reintroduces a race.","Partial","roundrobin_test.go has no go func/sync.WaitGroup usage. Add a `go test -race` covering concurrent request handling through this policy."
"model-round-robin","Threat Model","Availability (Unvalidated Provider Reference)","The configured provider field is never validated against the operation's actually-registered additionalProviders — OnRequestHeaders sets the upstream name to the raw configured string unconditionally. An invalid/unknown provider name is not caught by this policy itself.","Partial","roundrobin.go:332-336. Depends on whether the downstream routing layer reliably rejects/handles an unknown provider name safely (not confirmed in this review). Cross-validate provider values against registered additionalProviders at config time if feasible."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are rate limits in place where necessary?","N/A","model-round-robin is a content/routing guardrail, not a quota/throttling control by design. A separate advanced-ratelimit policy exists on the platform and can be composed onto the same operation if needed."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are permissions, roles, and entitlements defined on least privilege / business needs?","Partial","Org-level RBAC is enforced server-side for config-apply endpoints, but there is no per-resource ownership check in api-platform's LlmProvider/RestApi update handlers — any user with write scope in an org can silently modify or remove model-round-robin's configuration on a resource a teammate created."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are authN/authZ properly validated at UI and API, front/back end, before granting access?","Partially verified","Confirmed server-side at the management API for LlmProvider/RestApi updates (JWT + org claim enforced, not just client-side). UI-layer (Publisher/DevPortal) enforcement was not checked in this review."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are proper isolations in place between components (least privilege / blast radius)?","N/A","model-round-robin has no independent network/deployment topology of its own — it runs inside gateway-runtime's policy-engine and inherits whatever isolation that component has. Not reviewed at the infra level."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have default credentials been changed; no default superuser/root in use?","No — confirmed finding","The e2e tooling in this repo authenticates to gateway-controller with Authorization: Basic YWRtaW46YWRtaW4= (admin:admin), a literal default credential in active use in the environment exercised for this review. Not confirmed whether production overrides this."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is source code kept private where applicable?","Needs clarification","Source files carry Apache License 2.0 headers, suggesting this is intended as open-source code rather than private/proprietary — confirm the intended posture with the release/product owner."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Was a code review conducted with a security/resiliency focus, and were findings addressed?","Not verifiable from code","This is a PR-history/process record for model-round-robin's own commits — needs confirmation from the team, not determinable from the source alone."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Static (SAST) or IaC scanning conducted, and are findings addressed?","Partial","api-platform/.github/workflows/go-scan.yaml runs gosec daily across gateway-controller, policy-engine, gateway-builder, platform-api, and event-gateway-runtime, uploading SARIF to GitHub code scanning. No equivalent SAST workflow was found in the gateway-controllers (policy hub) repo itself, where this policy's actual source lives — coverage of this specific file is unconfirmed."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Software Composition Analysis (SCA) conducted/integrated, and are findings addressed?","Partial","trivy-scan.yaml (OS/library CVEs in built images) and jfrog-scan.yaml (JFrog Xray docker scan) run daily in api-platform across all major images. dependency-validation.yml (present in both repos) checks changed Go deps against an approved allowlist (governance, not CVE-based). No FOSSA; no dedicated Go-module vulnerability scan distinct from image-level scans found. Remediation-tracking status not verified."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Dynamic (DAST) or API scanning conducted on non-prod, and are findings addressed?","Not found","No DAST/ZAP/API-scanning workflow was found in either repo's .github/workflows. Either it runs outside these repos or it is a gap."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are audit logs generated in a standardized format for critical functionality, available to authorized users?","Partial","An audit table + AuditRepo.Record(action, resourceUUID, resourceType, orgUUID, performedBy) fires on LlmProvider/RestApi updates, including changes to model-round-robin's own configuration — standardized shape, but minimal (no diff, no payload). Availability to authorized users via a UI/API surface was not checked."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","How long are audit logs retained for?","Not verified","No TTL/cleanup job was found for the audit table in this review; needs confirmation from the data/DB team."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Do audit logs for critical config changes include a diff of old vs new?","No — confirmed","Update handlers fetch the old record only to preserve unrelated fields, then blindly overwrite the configuration column. No diff or version history is persisted, so a change that silently disables or weakens model-round-robin leaves no trace of its prior state."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has a BIA been conducted (MTTD/RPO/RTO, HA, DR, backups, health checks, banners)?","Not covered — needs infra/SRE input","model-round-robin has no independent database, deployment topology, or backup surface of its own; this whole section applies to the platform as a whole, not to one mediation policy. A health endpoint (/api/admin/v1/health on gateway-controller) does exist, confirming a health-check mechanism, but HA/DR/backup/banner posture was not reviewed."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are data in transit and at rest encrypted?","Partial","Client-facing gateway traffic runs over TLS (confirmed via the dev stack's https endpoint). At-rest encryption for general application/config data was not verified in this review; this policy itself has no independent storage layer."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is sensitive data (credentials/keys) stored in secret stores like key vaults?","N/A for this policy","model-round-robin does not itself handle LLM-provider credentials. Separately confirmed: platform-api has a real secret vault (vault.SecretVault.Encrypt/Decrypt) used for a dedicated Secret resource, with Decrypt scoped to internal gateway use only."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are all inputs and outputs validated? (Syntactic / Semantic)","Partial","Empty models list is correctly rejected at policy-creation time (fails closed); models[].model minLength enforced. But provider's declared minLength:1 schema constraint is not actually enforced in code (accepts empty string), a syntactic/semantic mismatch between schema and implementation."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has the implementation followed best-practice guidelines (OWASP/K8s/Vendor)?","Partial","Good: mutex correctly protects all shared-state read/write paths found; index advance uses modulo (no out-of-range risk); an all-suspended state fails closed with a clean 503 rather than misrouting. Gaps: raw error text to clients, an unenforced schema constraint, and no dedicated concurrency test for the mutex-protected selection logic."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have you ensured personal/sensitive/confidential data is not logged?","Yes, as far as verified","Only slog.Debug calls logging model name/provider were found — no full request/response bodies or credentials are logged anywhere in this file."
"model-round-robin","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have users been given proper instructions on secure usage?","Yes, mostly","The per-instance, in-memory nature of the round-robin state and its implication for multi-replica deployments is explicitly and clearly documented (v1.1 docs) — this is the most transparently-documented limitation among the six policies reviewed in this batch. No documentation gap found here beyond noting operators should read that section before assuming fleet-wide fairness."
